상태,STATUS
거래위치,DEAL_LOCATION
라이프존이력아이디,LIFEZONE_HIS_ID
원본카드명,ORG_CARD_NAME
검색위치,SEARCH_LOCATION
정렬타입,SORT_TYPE
카테고리검색여부,CATE_SEARCH_YN
검색범위,SEARCH_RANGE
광고아이디,ADVTM_ID
원격주소,REMOTE_ADDR
카테고리1,CATE1
카테고리1코드,CATE1_CODE
카테고리2,CATE2
카테고리2코드,CATE2_CODE
라이프존1,LIFEZONE1
라이프존2,LIFEZONE2
라이프존3,LIFEZONE3
라이프존4,LIFEZONE4
자동검사여부,AUTO_DETECT_YN
처리결과코드,RSLT_CODE
미확인요청이력아이디,UNCONF_REQ_HIS_ID
미확인요청아이디,UNCONF_REQ_ID
요청회사명,REQ_CO_NAME
라이프존,LIFEZONE
즉시여부,IMME_YN
매핑여부,MAPPING_YN
담당자아이디,HANDLER_ID
폐업여부,CLOSE_YN
가중치,WEIGHT
사업자번호,BUSINESS_NUM
앱버전,APP_VERSION
소비지출,CNSUMP_EXPENSE
식료품,GROCERY
육류,MEAT
채소가공품,VEGETABLE_PROCESSED
곡물,GRAIN
과일가공품,FRUIT_PROCESSED
주류담배,DRINK_TOBACCO
주류,DRINK
담배,TOBACCO
의류신발,CLOTHES_SHOES
직물및외의,TEXTILE_OTHER
신발,SHOES
기타의복,ETC_CLOTH
주거수도광열,LIVING_WTWORKS_PTRML
실제주거비,ACTUAL_LIVING_COST
주택유지및수선,H_MAINT_REPAIR
기타주거관련서비스,ETC_LIVING_SERVICE
연료비,FUEL_COST
가정용품가사서비스,HHOLD_GOODS_DMTSVC
가구및조명,FURNT_LIGHT
가전및가전용기기,APPLIANCES
가사서비스,DMTSVC
보건,HEALTH
입원서비스,IPTTSVC
외래의료서비스,AHCS
의약품,MEDICINE
교통,TRAFFIC
운송기구연료비,FTCOST
자동차구입비용,CAR_PUR_COST
통신,COMCTN
통신서비스,COMCTN_SVC
통신장비,COMCTN_EQPMT
오락문화,ETMT_CULTURE
단체여행비,GRTRV_FEE
문화서비스,CULTURE_SERVICE
장난감및취미용품,TOYS_HOBBIES
교육,EDU
정규교육,REGULAR_EDU
기타교육,ETC_EDU
학원보습,PRI_SCHL_KDGARDEN
음식숙박,FOOD_ACCMDT
식사비,MEAL_COST
숙박비,ACCMDT_COST
기타상품서비스,ETC_GOODS_SERVICE
보험,INSURANCE
기타서비스,ETC_SERVICE
사회복지,SOCIAL_WELFARE
비소비지출,NON_CNSPT_EXPENSE
경상조세,RECURRING_TAX
비경상조세,NON_RECURRING_TAX
연금,PENSION
사회보험,SOCIAL_INSURANCE
이자비용,INTEREST_COST
비영리단체로이전,NPOT
년도,YEAR
분기,QUARTER
가구간이전지출,TPBH
프렌차이즈여부,FRANCHISE_YN
연동상호명,INTIVE_BUSI_NAME
연동아이디,INTIVE_ID
가맹점동의어,MER_SYNONYM
일요일,SUN
월요일,MON
화요일,TUES
수요일,WED
목요일,THURS
금요일,FRI
토요일,SAT
로고이미지URL,LOGO_IMAGE_URL
혜택카테고리코드,BENEFIT_CATE_CODE
발생일자,OCC_DT
요일,DAYOFWEEK
유형,TYPE
처리자,HANDLER
처리일자,PROC_DT
발신자전화번호,SENDER_MSISDN
검색옵션,SEARCH_OPTION
검색미고려여부,SEARCH_REVOKE_YN
참조아이디,REF_ID
새회사명,N_CO_NAME
새회사아이디,N_CO_ID
검색상점명,SEARCH_STORE_NAME
오류리포트아이디,ERROR_REPORT_ID
원본상점명,ORG_STORE_NAME
경고여부,WARNING_YN
플래그,FLAG
주문번호,ORDER_NUM
주문일자,ORDER_DT
결재금액,APPR_AMOUNT
주문취소여부,ORDER_CANCEL_YN
온라인결재아이디,ONLINE_APPR_ID
순번,SEQ
상품URL,GOODS_URL
상품이미지URL,GOODS_IMAGE_URL
상품명,GOODS_NAME
상품옵션,GOODS_OPTION
가격,PRICE
수량,QUANTITY
상점코드,STORE_CODE
응답여부,RESPONSE_YN
간격,INTERVAL
단말파싱버전,DEVICE_PSG_VER
단말파싱다운URL,DEVICE_PSING_DURL
구입금액,BUY_AMOUNT
취소금액,CANCEL_AMOUNT
정규화파싱에러여부,REX_PSING_ERROR_YN
정규화패턴아이디,REX_PATTERN_ID
전체적용,TOTAL_APPLY
단말정규화버전,DEVICE_REX_VERSION
실행기간,ACT_PRD
카드유형,CARD_TYPE
카드사용내역,CARD_USE_HIS
가맹점번호,MER_NUM
가맹점주소,MER_ADDR
가맹점업종,MER_TYPE
가맹점전화번호,MER_MSISDN
문자상점명,SMS_STORE_NAME
가맹점명,MER_NAME
가맹점대표자,MER_REP_DIRECTOR
카드승인번호,CARD_APPR_NUM
이관여부,TRANS_YN
결제이력아이디,PYMT_HIS_ID
결제시간,PYMT_TIME
시간갭,TIME_GAP
이전결제시간,PRE_PYMT_TIME
이전결제이력아이디,PRE_PYMT_HIS_ID
이전업체아이디,PRE_COMPANY_ID
결제연관아이디,PYMT_RELATION_ID
이전회사명,PRE_CO_NAME
이미지URL,IMAGE_URL
대상URL,TARGET_URL
시작일자,START_DT
종료일자,END_DT
큰이미지URL,BIG_IMAGE_URL
대표여부,REP_YN
임의값,OPTION_VALUE
요청명,REQ_NAME
수집된가맹점아이디,COLLECTED_MER_ID
WIFI여부,WIFI_YN
주유소여부,GASTN_YN
고유번호,UNI_NUM
주유소브랜드,GASTN_BRAND
가상상점여부,VT_STORE_YN
셀프주유소여부,SELF_GASTN_YN
단말앱아이디,DEVICE_APP_ID
층,FLOOR
로그아이디,LOG_ID
직영점여부,MM_BRANCH_YN
서비스회사이름,SERVICE_CO_NAME
삭제될패턴,DEL_PATTERN
검출패턴,DETECT_PATTERN
타겟,TARGET
타겟옵션,TARGET_OPTION
전송메시지,TRANSFER_MSG
발송아이디,SEND_ID
WIFI아이디,WIFI_ID
통신망아이디,CELL_ID
거리,DISTANCE
검색패턴,SEARCH_PATTERN
적용패턴,APPLY_PATTERN
추가검색정규화식아이디,ADD_SEARCH_REGX_ID
예시,EXAMPLE
무시건수,IGNORE_CNT
강제업데이트여부,FORCE_UPDATE_YN
상점브랜드,STORE_BRAND
상점수집아이디,STORE_COLLECT_ID
이전상점명,PRE_STORE_NAME
상점아이디,STORE_ID
페이지번호,PAGE_NUM
동작모드,ACT_MODE
무시여부,IGNORE_YN
다음실행클래스,NEXT_ACT_CLASS
실행변수,ACT_VAR
프록시서버아이디,PROXY_SERVER_ID
통신판매신고번호,COMCTN_SELL_NUM
온라인여부,ONLINE_YN
품목번호,ITEM_NUM
상품카테고리,GOODS_CATE
수집사이트,COLLECT_SITE
베스트아이템등록일,BEST_ITEM_REG_DAY
추가정보,ADD_INFO
상세정보,DETAIL_INFO
성분,INGREDIENTS
용량,VOLUME
종류,KIND
원본저장URL,ORG_URL
상점수집기본데이타아이디,STORE_COLLECT_DATA_ID
물품아이디,ITEM_ID
이벤트종류,EVENT_KIND
카드사명,CARD_COMP_NAME
블로그명,BLOG_NAME
블로그URL,BLOG_URL
실행아이피,ACT_IP
사용방법,USE_WAY
사이즈와맞춤,SIZE_FIT
사이즈가이드아이디,SIZE_GUIDE_ID
사이즈맞춤가이드,SIZE_FIT_GUIDE
제품측정가이드1,PRODUCT_MEASURE_GUIDE_1
제품측정가이드2,PRODUCT_MEASURE_GUIDE_2
앞올림,FRONT_RAISE
뒷올림,BACK_RAISE
허리,WAIST
힙,HIP
다리안쪽,LEG_INNER
다리열림,LEG_OPEN
어깨너비,SHOULDER_WIDTH
길이,LENGTH
흉상,BUST
소매길이,SLEEVE_LENGTH
힐높이,HEEL_HEIGHT
플랫폼높이,PLATFORM_HEIGHT
수집사이트아이디,COLLECT_SITE_ID
사이즈구분,SIZE_DIV
국가,COUNTRY
비디오,VIDEO
읽기실패건수,READ_FAIL_CNT
처리실패건수,PROC_FAIL_CNT
쓰기실패건수,WRITE_FAIL_CNT
원본데이터,ORG_DATA
작업결과,JOB_RESULT
수집경로,COLLECT_PATH
도메인,DOMAIN
접근여부,ACCESS_YN
제조일자,MAFT_DT
위탁판매업자,TRUST_SELLER
연관아이템명,RELATION_ITEM_NAME
모음판매아이디,TGTH_SELL_ID
판매명,SELL_NAME
사이트가,SITE_PRICE
옵션,OPTION
컬러옵션,COLOR_OPTION
사이즈옵션,SIZE_OPTION
추가가격,ADD_PRICE
인자,ARGS
필터명,FILTER_NAME
재고검사일자,STOCK_DETECT_DT
재고변동여부,STOCK_CHANGE_YN
데이터,DATA
묶음품목번호,BUNDLE_ITEM_NUM
시스템명,SYSTEM_NAME
타겟아이디,TARGET_ID
재고아이디,STOCK_ID
원본제조일자,ORG_MAFT_DT
사은품옵션,GIFT_OPTION
스타일옵션,STYLE_OPTION
최대실행시간,MAX_ACT_TIME
요청건수,REQ_CNT
신상여부,NEW_YN
기획전여부,SPEC_EXHIBTN_YN
실행점수,ACT_POINT
검색회차수,SEARCH_ROUND_NUM
참조URL아이디,REF_URL_ID
누적요청건수,CUMULATIVE_REQ_CNT
미처리기간,MISS_HANDLING_PERIOD
요청URL,REQ_URL
서브잡아이디,SUB_ID
남은건수,REMAINED_CNT
처리건수,PROC_CNT
요청URL,REQ_URL
요청데이터,REQ_DATA
카테고리URL,CATE_URL
제목,SUBJECT
작은이미지URL,SMALL_IMAGE_URL
메인이미지URL,MAIN_IMAGE_URL
이벤트번호,EVENT_NUM
이벤트아이디,EVENT_ID
판매종료여부,SELL_END_YN
실행단계,ACT_STEP
복합실행단계,COMPOSITE_ACT_STEP
이미지아이디,IMAGE_ID
초기실행여부,INIT_ACT_YN
인기검색어,POP_SEARCH_KEYWORD
종료여부,END_YN
기획전,SPEC_EXHIBTN
수집,COLLECT
목록,LIST
이전,PRE
환율,EXC-RATE
기준,STD
코드,CODE
가격기준코드,PRICE_STD_CODE
총평가건수,TOTAL_EVAL_CNT
추천물품아이디,NOMI_ITEM_ID
추천품목번호,NOMI_ITEM_NUM
변경여부,CHG_YN
서비스실행아이디,SERVICE_ACT_ID
브랜드대표전화번호,BRAND_REP_MSISDN
주소GEO변환여부,ADDR_GEO_CONV_YN
상점명사용내역,STORE_NAME_USE_HIS
가맹점타입,MER_TYPE
구매건수,PUR_CNT
